Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/calc/add/60/64,1,0,1.8344779964536428,1.8344779964536428,1.8344779964536428,1.8344779964536428,3.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/add/61/39,1,0,1.8665079842321575,1.8665079842321575,1.8665079842321575,1.8665079842321575,3.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/add/69/85,1,0,2.2874909918755293,2.2874909918755293,2.2874909918755293,2.2874909918755293,3.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/add/70/26,1,0,2.0260430173948407,2.0260430173948407,2.0260430173948407,2.0260430173948407,2.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/add/73/1,1,0,3.06509603979066,3.06509603979066,3.06509603979066,3.06509603979066,2.0,0.01700118243692746,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/calc/add/75/88,1,0,3.8018429768271744,3.8018429768271744,3.8018429768271744,3.8018429768271744,3.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/add/77/81,1,0,6.024705013260245,6.024705013260245,6.024705013260245,6.024705013260245,3.0,0.01700118243692746,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/calc/add/79/38,1,0,3.2789490069262683,3.2789490069262683,3.2789490069262683,3.2789490069262683,3.0,0.01700118243692746,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/calc/add/79/39,1,0,2.4427169701084495,2.4427169701084495,2.4427169701084495,2.4427169701084495,3.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/add/8/44,1,0,1.9701129640452564,1.9701129640452564,1.9701129640452564,1.9701129640452564,2.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/add/84/9,1,0,2.1672379807569087,2.1672379807569087,2.1672379807569087,2.1672379807569087,2.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/add/84/98,1,0,3.6114119575358927,3.6114119575358927,3.6114119575358927,3.6114119575358927,3.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/add/85/48,1,0,5.263828032184392,5.263828032184392,5.263828032184392,5.263828032184392,3.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/add/87/81,1,0,4.328006005380303,4.328006005380303,4.328006005380303,4.328006005380303,3.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/add/88/55,1,0,4.1910530417226255,4.1910530417226255,4.1910530417226255,4.1910530417226255,3.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/add/9/68,1,0,2.89353501284495,2.89353501284495,2.89353501284495,2.89353501284495,2.0,0.01700118243692746,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/calc/add/94/46,1,0,2.4470750358887017,2.4470750358887017,2.4470750358887017,2.4470750358887017,3.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/add/96/71,1,0,2.1714039612561464,2.1714039612561464,2.1714039612561464,2.1714039612561464,3.0,0.01700118243692746,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/calc/add/98/22,1,0,3.9866449660621583,3.9866449660621583,3.9866449660621583,3.9866449660621583,3.0,0.01700118243692746,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/calc/divide/13/79,1,0,3.2041699741967022,3.2041699741967022,3.2041699741967022,3.2041699741967022,3.0,0.01700118243692746,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/calc/divide/13/93,1,0,4.949629947077483,4.949629947077483,4.949629947077483,4.949629947077483,3.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/calc/divide/14/42,1,0,4.632311989553273,4.632311989553273,4.632311989553273,4.632311989553273,3.0,0.01700118243692746,0.0,5,5,5,5,5,5,5,5,5,5,5
