Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1749503942,5,,Aggregated,3.200000,0.000000,4,4,5,5,5,5,6,6,8,8,8,105,0,4,3.9587789148624455,1.7962030251510441,7.613231951836497,6.476190476190476
1749503943,5,,Aggregated,3.300000,0.000000,4,4,5,5,5,5,6,6,8,8,8,109,0,4,3.929384991018221,1.7962030251510441,7.613231951836497,6.5504587155963305
1749503944,5,,Aggregated,3.100000,0.000000,4,4,5,5,5,5,6,6,8,8,8,111,0,4,3.9031608381543546,1.7962030251510441,7.613231951836497,6.486486486486487
1749503945,5,,Aggregated,3.200000,0.000000,4,4,5,5,5,5,6,6,8,8,8,115,0,4,3.8457554785291785,1.7962030251510441,7.613231951836497,6.373913043478261
1749503946,5,,Aggregated,3.300000,0.000000,4,4,5,5,5,5,6,6,8,8,8,120,0,4,3.782488391637647,1.7962030251510441,7.613231951836497,6.416666666666667
1749503947,5,,Aggregated,3.100000,0.000000,4,4,5,5,5,5,6,6,8,8,8,122,0,4,3.77559129503693,1.7962030251510441,7.613231951836497,6.360655737704918
1749503948,5,,Aggregated,3.300000,0.000000,4,4,5,5,5,5,6,6,8,8,8,126,0,4,3.7318836987232937,1.7962030251510441,7.613231951836497,6.4523809523809526
1749503949,5,,Aggregated,3.500000,0.000000,4,4,5,5,5,5,6,6,8,8,8,129,0,4,3.7025239150754587,1.7962030251510441,7.613231951836497,6.364341085271318
1749503950,5,,Aggregated,3.300000,0.000000,4,4,5,5,5,5,6,6,8,8,8,132,0,4,3.675943530679709,1.7962030251510441,7.613231951836497,6.2727272727272725
1749503951,5,,Aggregated,3.500000,0.000000,4,4,5,5,5,5,6,6,8,8,8,136,0,4,3.6573972140425157,1.7962030251510441,7.613231951836497,6.1838235294117645
1749503952,5,,Aggregated,3.400000,0.000000,4,4,5,5,5,5,6,6,8,8,8,140,0,4,3.624979865188444,1.7962030251510441,7.613231951836497,6.085714285714285
1749503953,5,,Aggregated,3.300000,0.000000,4,4,5,5,5,5,6,6,8,8,8,142,0,4,3.608299557424583,1.7962030251510441,7.613231951836497,6.21830985915493
1749503954,5,,Aggregated,3.600000,0.000000,4,4,5,5,5,5,6,6,8,8,8,146,0,4,3.573434288639014,1.7962030251510441,7.613231951836497,6.287671232876712
1749503955,5,,Aggregated,3.500000,0.000000,4,4,4,5,5,5,6,6,8,8,8,151,0,4,3.5399721660928813,1.7962030251510441,7.613231951836497,6.178807947019868
1749503956,5,,Aggregated,3.300000,0.000000,4,4,4,5,5,5,6,6,8,8,8,152,0,4,3.5300585200035894,1.7962030251510441,7.613231951836497,6.157894736842105
1749503957,5,,Aggregated,3.500000,0.000000,4,4,4,5,5,5,6,6,8,8,8,156,0,3,3.4982493402472197,1.7962030251510441,7.613231951836497,6.076923076923077
1749503958,5,,Aggregated,3.600000,0.000000,3,4,4,5,5,5,6,6,8,8,8,160,0,3,3.4702017197560053,1.7962030251510441,7.613231951836497,5.9875
1749503959,5,,Aggregated,3.200000,0.000000,3,4,4,5,5,5,6,6,8,8,8,164,0,3,3.482503171587113,1.7962030251510441,7.613231951836497,5.920731707317073
1749503960,5,,Aggregated,3.400000,0.000000,3,4,4,5,5,5,6,6,8,8,8,167,0,3,3.454112677491956,1.3741010334342718,7.613231951836497,5.880239520958084
1749503961,5,,Aggregated,3.400000,0.000000,3,4,4,5,5,5,6,6,8,8,8,171,0,3,3.484462667324673,1.3741010334342718,7.613231951836497,5.8011695906432745
1749503962,5,,Aggregated,3.500000,0.000000,4,4,5,5,5,5,6,7,8,8,8,173,0,4,3.509256243840334,1.3741010334342718,7.613231951836497,5.757225433526012
1749503963,5,,Aggregated,3.400000,0.000000,4,4,5,5,5,5,6,7,8,8,8,177,0,4,3.5086744132788463,1.3741010334342718,7.613231951836497,5.6892655367231635
1749503964,5,,Aggregated,3.300000,0.000000,4,4,4,5,5,5,6,7,8,8,8,181,0,4,3.5092534261976898,1.3741010334342718,7.613231951836497,5.762430939226519
1749503965,5,,Aggregated,3.500000,0.000000,4,4,5,5,5,5,6,7,8,8,8,183,0,4,3.506568055332745,1.3741010334342718,7.613231951836497,5.73224043715847
1749503966,5,,Aggregated,3.300000,0.000000,4,4,4,5,5,5,6,7,8,8,8,187,0,4,3.5069303691043534,1.3741010334342718,7.613231951836497,5.67379679144385
